UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON13,DRUG13,LIQUOR13,WEAPON14,DRUG14,LIQUOR14,WEAPON15,DRUG15,LIQUOR15,FILTER13,FILTER14,FILTER15,FID,Longitude,Latitude
115658001,Hilltop Beauty School,Main Campus,6317 MISSION ST,DALY CITY,CA,94014,9,"Private for-profit, less-than 2-year",9,123,132,0,0,0,0,0,0,0,0,0,1,1,1,53,-122.461459695464,37.7057082094534
115728001,Holy Names University,Main Campus,3500 MOUNTAIN BLVD,OAKLAND,CA,946191699,2,"Private nonprofit, 4-year or above",318,731,1049,0,0,0,0,0,0,0,0,0,1,1,1,54,-122.186153616702,37.8000768012783
115746001,Pacifica Graduate Institute,Lambert Campus,249 LAMBERT RD,CARPINTERIA,CA,93013,3,"Private for-profit, 4-year or above",237,702,939,0,0,0,0,0,0,0,0,0,1,1,1,55,-119.579576123109,34.4211419119949
115755001,Humboldt State University,Humboldt State University,1 HARPST STREET,ARCATA,CA,955218299,1,"Public, 4-year or above",3843,4947,8790,0,8,3,0,5,3,2,2,0,1,1,1,56,-124.081546047052,40.874055838357
115773001,Humphreys College-Stockton and Modesto Campuses,Main Campus,6650 INGLEWOOD AVE,STOCKTON,CA,952073896,2,"Private nonprofit, 4-year or above",162,403,565,0,0,0,0,0,0,0,0,0,1,1,1,57,-121.316824754251,38.0107340130147
115861001,Imperial Valley College,Imperial Valley College - Main Campus,380 E. Aten Road,IMPERIAL,CA,922510158,4,"Public, 2-year",3339,4472,7811,0,1,0,0,0,0,0,1,1,1,1,1,58,-115.504936869303,32.8256363233927
115931001,Institute for Business and Technology,Main Campus,2400 Walsh Avenue,SANTA CLARA,CA,950512551,9,"Private for-profit, less-than 2-year",314,94,408,0,0,0,0,0,0,0,0,0,1,1,1,59,-121.969283667622,37.3694755561203
116226001,Interior Designers Institute,Main Campus,1061 CAMELBACK RD,NEWPORT BEACH,CA,92660,3,"Private for-profit, 4-year or above",17,184,201,0,0,0,0,0,0,0,0,0,1,1,1,60,-117.865634264048,33.6415992853628
116350001,Toni & Guy Hairdressing Academy-Santa Monica,TONI&GUY Hairdressing Academy- Santa Monica,1358 5th Street,Santa Monica,CA,90401,9,"Private for-profit, less-than 2-year",31,212,243,0,0,0,0,0,0,0,0,0,1,1,1,61,-118.494738934766,34.0175454375169
116439001,Irvine Valley College,Irvine Valley College,5500 Irvine Center Drive,Irvine,CA,926180301,4,"Public, 2-year",6634,6549,13183,1,1,0,0,1,0,0,0,0,1,1,1,62,-117.778721959373,33.6793234507292
